************************************************************************
Output generated by SingleCrystal 4 for Windows
Copyright (c) 1996-2023 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

ref no.   h   k   l   d(hkl)   F(Re)         F(Im)        Phase     |F|

[  65]  -14  -4   0   0.8195   1.95639e+01   2.07287e-14    0.000   1.95639e+01
[  66]  -14  -4   1   0.8176  -5.32907e-15   1.69404e-14  180.000   1.77589e-14
[  67]  -14  -4   2   0.8119   1.11771e+01   1.06301e-14    0.000   1.11771e+01
[  68]  -14  -4   3   0.8027  -3.99680e-15  -9.75282e-15  180.000   1.05400e-14
[  69]  -14  -4   4   0.7903   1.53081e+01   1.30572e-14    0.000   1.53081e+01
[  70]  -14  -4   5   0.7752  -3.99680e-15   8.98470e-15  180.000   9.83358e-15
[  71]  -14  -3  -5   0.7870  -2.22045e-15   1.10921e-14  180.000   1.13122e-14
[  72]  -14  -3  -4   0.8028   4.44089e-16   6.76998e-15    0.000   6.78453e-15
[  73]  -14  -3  -3   0.8158  -4.88498e-15   1.56060e-14  180.000   1.63526e-14
[  74]  -14  -3  -2   0.8254   8.88178e-16  -3.55917e-15    0.000   3.66831e-15
[  75]  -14  -3  -1   0.8314  -4.44089e-15  -1.32012e-15  180.000   4.63295e-15
[  76]  -14  -3   0   0.8334  -1.77636e-15   1.61274e-14  180.000   1.62249e-14
[  77]  -14  -3   1   0.8314  -4.88498e-15   1.80191e-14  180.000   1.86695e-14
[  78]  -14  -3   2   0.8254   0.00000e+00  -2.97426e-15    0.000   2.97426e-15
[  79]  -14  -3   3   0.8157  -4.44089e-15   9.45424e-17  180.000   4.44190e-15
[  80]  -14  -3   4   0.8027   4.44089e-16   6.46136e-15    0.000   6.47661e-15
[  81]  -14  -3   5   0.7869  -3.77476e-15   5.51487e-15  180.000   6.68301e-15
[  82]  -14  -2  -6   0.7770   8.55109e+00   1.84301e-14    0.000   8.55109e+00
[  83]  -14  -2  -5   0.7957  -3.10862e-15  -2.46162e-15  180.000   3.96524e-15
[  84]  -14  -2  -4   0.8120   2.10834e+01   2.97535e-14    0.000   2.10834e+01
[  85]  -14  -2  -3   0.8255  -1.77636e-15  -4.71792e-15  180.000   5.04125e-15
[  86]  -14  -2  -2   0.8355   1.36732e+01   1.35749e-14    0.000   1.36732e+01
[  87]  -14  -2  -1   0.8417  -6.21725e-15   4.69437e-16  180.000   6.23495e-15
[  88]  -14  -2   0   0.8438   2.71939e+01   2.85856e-14    0.000   2.71939e+01
[  89]  -14  -2   1   0.8417  -7.10543e-15  -4.05537e-16  180.000   7.11699e-15
[  90]  -14  -2   2   0.8354   1.36674e+01   1.25647e-14    0.000   1.36674e+01
[  91]  -14  -2   3   0.8254  -4.44089e-15   4.74212e-15  180.000   6.49686e-15
[  92]  -14  -2   4   0.8119   2.10641e+01   1.62149e-14    0.000   2.10641e+01
[  93]  -14  -2   5   0.7956  -7.54952e-15  -2.34296e-15  180.000   7.90472e-15
[  94]  -14  -2   6   0.7768   8.54024e+00   6.22421e-15    0.000   8.54024e+00
[  95]  -14  -1  -6   0.7820   4.44089e-16  -1.41130e-15    0.000   1.47952e-15
[  96]  -14  -1  -5   0.8011  -6.21725e-15  -1.06007e-14  180.000   1.22893e-14
[  97]  -14  -1  -4   0.8178   1.77636e-15  -9.76204e-15    0.000   9.92234e-15
[  98]  -14  -1  -3   0.8315  -6.21725e-15  -7.59375e-16  180.000   6.26345e-15
[  99]  -14  -1  -2   0.8417   8.88178e-16  -1.06946e-15    0.000   1.39018e-15
[ 100]  -14  -1  -1   0.8480  -4.88498e-15  -1.62011e-14  180.000   1.69215e-14
[ 101]  -14  -1   0   0.8502  -8.88178e-16  -2.31835e-14  180.000   2.32006e-14
[ 102]  -14  -1   1   0.8480  -5.77316e-15   2.61813e-15  180.000   6.33908e-15
[ 103]  -14  -1   2   0.8417   0.00000e+00   2.44342e-16    0.000   2.44342e-16
[ 104]  -14  -1   3   0.8314  -3.99680e-15  -1.49008e-14  180.000   1.54276e-14
[ 105]  -14  -1   4   0.8176   0.00000e+00  -1.32578e-14    0.000   1.32578e-14
[ 106]  -14  -1   5   0.8009  -5.32907e-15  -5.64440e-15  180.000   7.76262e-15
[ 107]  -14  -1   6   0.7818  -4.44089e-16  -7.04544e-15  180.000   7.05942e-15
[ 108]  -14   0  -6   0.7837   8.87221e+00   1.06394e-14    0.000   8.87221e+00
[ 109]  -14   0  -5   0.8029  -6.66134e-15  -2.01441e-14  180.000   2.12169e-14
[ 110]  -14   0  -4   0.8197   1.92626e+01   1.93411e-14    0.000   1.92626e+01
[ 111]  -14   0  -3   0.8335  -5.32907e-15   1.58621e-14  180.000   1.67333e-14
[ 112]  -14   0  -2   0.8438   1.35392e+01   1.24105e-14    0.000   1.35392e+01
[ 113]  -14   0  -1   0.8502  -7.99361e-15  -1.70612e-14  180.000   1.88409e-14
[ 114]  -14   0   0   0.8524   2.45178e+01   2.06835e-14    0.000   2.45178e+01
[ 115]  -14   0   1   0.8502  -6.21725e-15   2.27387e-14  180.000   2.35733e-14
[ 116]  -14   0   2   0.8438   1.35334e+01   8.68929e-15    0.000   1.35334e+01
[ 117]  -14   0   3   0.8334  -6.21725e-15  -1.34367e-14  180.000   1.48054e-14
[ 118]  -14   0   4   0.8196   1.92432e+01   8.41811e-15    0.000   1.92432e+01
[ 119]  -14   0   5   0.8027  -6.21725e-15   5.16607e-15  180.000   8.08347e-15
[ 120]  -14   0   6   0.7835   8.86033e+00   1.82049e-15    0.000   8.86033e+00
[ 121]  -14   1  -6   0.7820  -8.88178e-16   3.45947e-15  180.000   3.57167e-15
[ 122]  -14   1  -5   0.8011  -1.99840e-15   5.45787e-16  180.000   2.07159e-15
[ 123]  -14   1  -4   0.8178  -8.88178e-16   1.42649e-14  180.000   1.42926e-14
[ 124]  -14   1  -3   0.8315  -3.99680e-15   1.92586e-14  180.000   1.96690e-14
[ 125]  -14   1  -2   0.8418  -8.88178e-16   3.53479e-16  180.000   9.55933e-16
[ 126]  -14   1  -1   0.8481  -5.32907e-15   2.52749e-15  180.000   5.89807e-15
[ 127]  -14   1   0   0.8502  -8.88178e-16   2.81865e-14  180.000   2.82005e-14
[ 128]  -14   1   1   0.8481  -4.44089e-15   1.90617e-14  180.000   1.95722e-14
[ 129]  -14   1   2   0.8417  -8.88178e-16   1.67811e-15  180.000   1.89866e-15
[ 130]  -14   1   3   0.8314  -6.21725e-15   6.04117e-16  180.000   6.24653e-15
[ 131]  -14   1   4   0.8177  -8.88178e-16   8.14250e-15  180.000   8.19080e-15
[ 132]  -14   1   5   0.8009  -5.10703e-15   7.37728e-15  180.000   8.97251e-15
[ 133]  -14   1   6   0.7818  -4.44089e-16   5.01032e-15  180.000   5.02996e-15
[ 134]  -14   2  -6   0.7771   8.55805e+00   7.36673e-15    0.000   8.55805e+00
[ 135]  -14   2  -5   0.7958  -6.21725e-15  -4.61455e-15  180.000   7.74262e-15
[ 136]  -14   2  -4   0.8121   2.11006e+01   2.32847e-14    0.000   2.11006e+01
[ 137]  -14   2  -3   0.8256  -3.55271e-15  -1.19140e-15  180.000   3.74716e-15
